activity_date,user_id,value
2023-11-08,26.0,8417
2023-11-09,61.0,18144
2023-11-09,100.0,3506
2023-11-09,25.0,16211
2023-11-09,78.0,3655
2023-11-09,31.0,1822
2023-11-09,67.0,87
2023-11-09,80.0,10235
2023-11-09,48.0,3432
2023-11-09,5.0,5124
2023-11-10,52.0,11790
2023-11-10,97.0,10466
2023-11-08,44.0,12063
2023-11-09,44.0,11830
2023-11-10,100.0,6809
2023-11-10,36.0,9139
2023-11-10,44.0,12034
2023-11-10,49.0,13967
2023-11-10,8.0,6696
2023-11-10,61.0,17028
2023-11-10,17.0,8246
2023-11-10,48.0,3493
2023-11-10,5.0,4900
2023-11-08,30.0,7594
2023-11-09,30.0,888
2023-11-10,28.0,4518
2023-11-10,30.0,1851
2023-11-10,37.0,25342
2023-11-10,26.0,7249
2023-11-10,31.0,7257
2023-11-10,78.0,1662
2023-11-10,67.0,3882
2023-11-10,80.0,10313
2023-11-11,97.0,8625
2023-11-11,36.0,13246
2023-11-11,52.0,10488
2023-11-11,100.0,17064
2023-11-11,28.0,22555
2023-11-11,48.0,7684
2023-11-11,80.0,9277
2023-11-11,44.0,6954
2023-11-11,8.0,13669
2023-11-11,31.0,6534
2023-11-11,49.0,13957
2023-11-08,61.0,200
2023-11-10,25.0,18190
2023-11-11,30.0,9507
2023-11-11,5.0,9600
2023-11-11,61.0,1822
2023-11-11,17.0,7519
2023-11-11,67.0,1444
2023-11-11,37.0,20806
2023-11-11,26.0,8337
2023-11-11,78.0,4892
2023-11-12,97.0,6706
2023-11-12,36.0,10032
2023-11-12,52.0,5960
2023-11-12,8.0,3936
2023-11-12,31.0,8746
2023-11-11,25.0,15294
2023-11-12,100.0,7720
2023-11-12,28.0,5151
2023-11-12,49.0,7722
2023-11-12,48.0,5853
2023-11-12,80.0,10804
2023-11-12,25.0,15975
2023-11-12,30.0,10495
2023-11-12,5.0,6771
2023-11-12,17.0,3603
2023-11-12,67.0,1940
2023-11-12,37.0,11331
2023-11-12,78.0,1650
2023-11-13,97.0,13363
2023-11-13,31.0,7438
2023-11-10,58.0,476
2023-11-11,58.0,14526
2023-11-12,58.0,8229
2023-11-13,58.0,23192
2023-11-13,100.0,6439
2023-11-13,52.0,7937
2023-11-13,48.0,3793
2023-11-13,17.0,3059
2023-11-13,80.0,10153
2023-11-13,49.0,11981
2023-11-13,37.0,31780
2023-11-05,100.0,7897
2023-11-12,44.0,3454
2023-11-13,36.0,10396
2023-11-13,25.0,19785
2023-11-13,30.0,10161
2023-11-13,5.0,3973
2023-11-13,67.0,1670
2023-11-13,78.0,4486
2023-11-14,48.0,4990
2023-11-13,44.0,12536
2023-11-14,31.0,2441
2023-11-14,52.0,6770
2023-11-14,44.0,19544
2023-11-14,36.0,6024
2023-11-14,100.0,7316
2023-11-09,26.0,12259
2023-11-12,61.0,835
2023-11-12,26.0,2370
2023-11-13,28.0,440
2023-11-13,61.0,225
2023-11-13,8.0,5062
2023-11-14,97.0,10478
2023-11-13,26.0,6949
2023-11-14,58.0,9368
2023-11-14,80.0,8011
2023-11-14,78.0,4318
2023-11-14,30.0,8818
2023-11-14,17.0,2388
2023-11-14,49.0,17289
2023-11-14,61.0,119
2023-11-14,26.0,5415
2023-11-14,37.0,30978
2023-11-14,5.0,6570
2023-11-14,25.0,18952
2023-11-14,67.0,2031
2023-11-15,52.0,7854
2023-11-14,8.0,4479
2023-11-14,28.0,843
2023-11-15,25.0,21753
2023-11-15,5.0,4896
2023-11-15,100.0,6834
2023-11-15,17.0,8257
2023-11-15,8.0,7139
2023-11-15,31.0,3159
2023-11-15,49.0,18073
2023-11-15,44.0,11994
2023-11-15,48.0,8247
2023-11-15,36.0,5560
2023-11-15,97.0,12488
2023-11-15,28.0,519
2023-11-15,67.0,1845
2023-11-15,80.0,8355
2023-11-15,30.0,8840
2023-11-15,78.0,3301
2023-11-15,37.0,26993
2023-11-15,26.0,4948
2023-11-15,61.0,10005
2023-11-16,44.0,8675
2023-11-16,31.0,8479
2023-11-16,52.0,12527
2023-11-16,5.0,7371
2023-11-16,37.0,24852
2023-11-16,8.0,16469
2023-11-16,49.0,13669
2023-11-16,100.0,6339
2023-11-16,36.0,4166
2023-11-16,61.0,15820
2023-11-16,17.0,4706
2023-11-16,48.0,8162
2023-11-16,78.0,3411
2023-11-16,67.0,2662
2023-11-16,80.0,8285
2023-11-16,30.0,9751
2023-11-16,97.0,12785
2023-11-16,28.0,3670
2023-11-17,52.0,14478
2023-11-17,100.0,5356
2023-11-17,97.0,12133
2023-11-17,48.0,3706
2023-11-17,44.0,8714
2023-11-17,31.0,8496
2023-11-17,8.0,15842
2023-11-17,36.0,2856
2023-11-17,30.0,6110
2023-11-17,61.0,13893
2023-11-17,17.0,5739
2023-11-17,5.0,6262
2023-11-17,37.0,25564
2023-11-17,78.0,3816
2023-11-17,49.0,15881
2023-11-17,80.0,9300
2023-11-17,67.0,1106
2023-11-18,8.0,14122
2023-11-18,36.0,11655
2023-11-18,52.0,12300
2023-11-18,31.0,2244
2023-11-18,49.0,8967
2023-11-18,48.0,3500
2023-11-18,61.0,18116
2023-11-15,58.0,18072
2023-11-16,26.0,9860
2023-11-17,28.0,96
2023-11-18,97.0,12960
2023-11-18,100.0,11429
2023-11-18,67.0,1414
2023-11-18,80.0,8353
2023-11-18,37.0,13423
2023-11-18,44.0,6731
2023-11-18,78.0,2476
2023-11-18,5.0,13206
